description,main_actors,metascore,movie_length_minutes,movie_rank,rating,release_year,title,vote_count
"A simple act of kindness always sparks another, even in a frozen, faraway place. When Smeerensburg's new postman, Jesper, befriends toymaker Klaus, their gifts melt an age-old feud and deliver a sleigh full of holiday traditions.",Carlos Martínez López | Sergio Pablos | Sergio Pablos | Jim Mahoney | Zach Lewis,65.0,96,163,8.2,2019,Klaus,221080
"A Victorian surgeon rescues a heavily-disfigured and mistreated young man working as a sideshow freak, who gradually reveals his capacity for kindness, intelligence and sophistication.",David Lynch | Christopher De Vore | Eric Bergren | David Lynch | Anthony Hopkins,78.0,124,162,8.2,1980,The Elephant Man,277272
"King Arthur and his Knights of the Round Table embark on a surreal, low-budget search for the Holy Grail, encountering many, very silly obstacles.",Terry Gilliam | Terry Jones | Graham Chapman | John Cleese | Eric Idle,91.0,91,161,8.2,1975,Monty Python and the Holy Grail,595289
An Italian epic that follows the lives of two brothers from the 1960s to the 2000s.,Marco Tullio Giordana | Sandro Petraglia | Stefano Rulli | Luigi Lo Cascio | Alessio Boni,89.0,374,160,8.4,2003,The Best of Youth,26627
Allied officers in a German prisoner of war camp during World War II make a daring plan for a mass escape by hundreds of POWs hoping to draw German personnel and resources away from combat operations.,John Sturges | Paul Brickhill | James Clavell | W.R. Burnett | Steve McQueen,86.0,172,159,8.2,1963,The Great Escape,272956
A crafty ronin comes to a town divided by two criminal gangs and decides to play them against each other to free the town.,Akira Kurosawa | Akira Kurosawa | Ryûzô Kikushima | Toshirô Mifune | Tatsuya Nakadai,93.0,110,158,8.2,1961,Yojimbo,140387
"After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home.",Andrew Stanton | Lee Unkrich | Andrew Stanton | Bob Peterson | David Reynolds,90.0,100,157,8.2,2003,Finding Nemo,1181065
"When an unconfident young woman is cursed with an old body by a spiteful witch, her only chance of breaking the spell lies with a self-indulgent yet insecure young wizard and his companions in his legged, walking castle.",Hayao Miyazaki | Hayao Miyazaki | Diana Wynne Jones | Chieko Baishô | Takuya Kimura,82.0,119,156,8.2,2004,Howl's Moving Castle,496656
Two down-on-their-luck Americans searching for work in 1920s Mexico convince an old prospector to help them mine for gold in the Sierra Madre Mountains.,John Huston | John Huston | B. Traven | Humphrey Bogart | Walter Huston,98.0,126,155,8.2,1948,The Treasure of the Sierra Madre,139351
"A mathematical genius, John Nash made an astonishing discovery early in his career and stood on the brink of international acclaim. But the handsome and arrogant Nash soon found himself on a harrowing journey of self-discovery.",Ron Howard | Akiva Goldsman | Sylvia Nasar | Russell Crowe | Ed Harris,72.0,135,154,8.2,2001,A Beautiful Mind,1036379
A desperate father takes the law into his own hands after police fail to find two kidnapped girls.,Denis Villeneuve | Aaron Guzikowski | Hugh Jackman | Jake Gyllenhaal | Viola Davis,70.0,153,153,8.2,2013,Prisoners,900084
"After waking from a four-year coma, a former assassin wreaks vengeance on the team of assassins who betrayed her.",Quentin Tarantino | Quentin Tarantino | Uma Thurman | Uma Thurman | Lucy Liu,69.0,111,152,8.2,2003,Kill Bill: Vol. 1,1273062
"In 1944 Spain, a girl is sent to live with her ruthless stepfather. During the night, she meets a fairy who takes her to an old faun. He tells her she's a princess, but must prove her royalty by surviving three gruesome tasks.",Guillermo del Toro | Guillermo del Toro | Ivana Baquero | Sergi López | Maribel Verdú,98.0,118,151,8.2,2006,Pan's Labyrinth,734578
"Retired Old West gunslinger Will Munny reluctantly takes on one last job to avenge an injustice with the help of his old partner and a young would-be gunman calling himself ""The Schofield Kid"".",Clint Eastwood | David Webb Peoples | Clint Eastwood | Gene Hackman | Morgan Freeman,85.0,130,150,8.2,1992,Unforgiven,460983
"The story involves Maverick confronting his past while training a group of younger Top Gun graduates, including the son of his deceased best friend, for a dangerous mission.",Joseph Kosinski | Jim Cash | Jack Epps Jr. | Peter Craig | Tom Cruise,78.0,130,149,8.2,2022,Top Gun: Maverick,809507
A research team in Antarctica is hunted by a shape-shifting alien that assumes the appearance of its victims.,John Carpenter | Bill Lancaster | John W. Campbell Jr. | Kurt Russell | Wilford Brimley,57.0,109,148,8.2,1982,The Thing,511314
Violence and mayhem ensue after a hunter stumbles upon the aftermath of a drug deal gone wrong and over two million dollars in cash near the Rio Grande.,Ethan Coen | Joel Coen | Joel Coen | Ethan Coen | Cormac McCarthy,92.0,122,147,8.2,2007,No Country for Old Men,1154031
"In Las Vegas, two best friends--a casino executive and a Mafia enforcer--compete for a gambling empire and a fast-living, fast-loving socialite.",Martin Scorsese | Nicholas Pileggi | Martin Scorsese | Robert De Niro | Sharon Stone,73.0,178,146,8.2,1995,Casino,604807
"In Medieval Japan, an elderly warlord retires, handing over his empire to his three sons. However, he vastly underestimates how the new-found power will corrupt them and cause them to turn on each other...and him.",Akira Kurosawa | Akira Kurosawa | Hideo Oguni | Masato Ide | Tatsuya Nakadai,97.0,160,145,8.2,1985,Ran,147683
"After being shot by a resentful former patient whom he failed to help, a Philadelphia child psychologist seeks redemption by treating a young boy with a disturbing secret.",M. Night Shyamalan | M. Night Shyamalan | Bruce Willis | Haley Joel Osment | Toni Collette,64.0,107,144,8.2,1999,The Sixth Sense,1119078
A seemingly timid but secretly ruthless ingénue insinuates herself into the lives of an aging Broadway star and her circle of theater friends.,Joseph L. Mankiewicz | Joseph L. Mankiewicz | Mary Orr | Bette Davis | Anne Baxter,98.0,138,143,8.2,1950,All About Eve,146979
A young and beautiful female teacher starts working in an all boys high school.,Ertem Egilmez | Sadik Sendil | Rifat Ilgaz | Münir Özkul | Tarik Akan,,95,142,8.6,1975,The Chaos Class Failed the Class,28577
"When their evil enemy resurfaces after 16 years, a group of ex-revolutionaries reunite to rescue the daughter of one of their own.",Paul Thomas Anderson | Paul Thomas Anderson | Thomas Pynchon | Teyana Taylor | Leonardo DiCaprio,95.0,161,141,8.2,2025,One Battle After Another,118391
"A man refuses all assistance from his daughter as he ages. When he tries to understand what is happening around him, he begins to doubt his loved ones, his own mind and even the fabric of his reality.",Florian Zeller | Christopher Hampton | Florian Zeller | Olivia Colman | Anthony Hopkins,88.0,97,140,8.2,2020,The Father,220698
"The Tramp cares for an abandoned child, but events put their relationship in jeopardy.",Charles Chaplin | Charles Chaplin | Charles Chaplin | Jackie Coogan | Carl Miller,,68,139,8.2,1921,The Kid,143404
"A story of family, religion, hatred, oil and madness, focusing on a turn-of-the-century prospector in the early days of the business.",Paul Thomas Anderson | Paul Thomas Anderson | Upton Sinclair | Daniel Day-Lewis | Martin Stringer,93.0,158,138,8.2,2007,There Will Be Blood,688496
"An industrialist invites some experts to visit his theme park of cloned dinosaurs. After a power failure, the creatures run loose, putting everyone's lives, including his grandchildren's, in danger.",Steven Spielberg | Michael Crichton | David Koepp | Sam Neill | Laura Dern,68.0,127,137,8.2,1993,Jurassic Park,1148916
"After two male musicians witness a mob hit, they flee the state in an all-female band disguised as women, but further complications set in.",Billy Wilder | Billy Wilder | I.A.L. Diamond | Robert Thoeren | Marilyn Monroe,98.0,121,136,8.2,1959,Some Like It Hot,299743
Two US marshals are sent to a mental institution on an inhospitable island in order to investigate the disappearance of a patient.,Martin Scorsese | Laeta Kalogridis | Dennis Lehane | Leonardo DiCaprio | Mark Ruffalo,63.0,138,135,8.2,2010,Shutter Island,1589805
"Fictionalized depiction of the 1947 Judges' Trial, the third of 12 trials of Nazi war criminals conducted by the American occupying forces in Nuremberg, Germany, in which former judges of Nazi Germany were tried for their actions.",Stanley Kramer | Abby Mann | Montgomery Clift | Spencer Tracy | Burt Lancaster,60.0,179,134,8.3,1961,Judgment at Nuremberg,93904
Two bounty killers with similar intentions but different motivations team up to take down a psychotic Mexican outlaw before he and his gang can carry out an audacious bank robbery.,Sergio Leone | Sergio Leone | Fulvio Morsella | Luciano Vincenzoni | Clint Eastwood,74.0,132,133,8.2,1965,For a Few Dollars More,294237
"A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action.",Martin Scorsese | Paul Schrader | Diahnne Abbott | Frank Adu | Victor Argo,94.0,114,132,8.2,1976,Taxi Driver,1000337
"The real life of one of America's foremost founding fathers and first Secretary of the Treasury, Alexander Hamilton. Captured live on Broadway from the Richard Rodgers Theater with the original Broadway cast.",Thomas Kail | Lin-Manuel Miranda | Ron Chernow | Daveed Diggs | Renée Elise Goldsberry,88.0,160,131,8.3,2020,Hamilton,133921
"After witnessing his parents' death, billionaire Bruce Wayne learns the art of fighting to confront injustice. When he returns to Gotham as Batman, he must stop a secret society that intends to destroy the city.",Christopher Nolan | Bob Kane | David S. Goyer | Christopher Nolan | Christian Bale,70.0,140,130,8.2,2005,Batman Begins,1677460
An insurance salesman begins to suspect that his whole life is actually some sort of reality TV show.,Peter Weir | Andrew Niccol | Jim Carrey | Laura Linney | Noah Emmerich,90.0,103,129,8.2,1998,The Truman Show,1323817
A working-class Italian-American bouncer becomes the driver for an African-American classical pianist on a tour of venues through the 1960s American South.,Peter Farrelly | Nick Vallelonga | Brian Hayes Currie | Peter Farrelly | Viggo Mortensen,69.0,130,128,8.2,2018,Green Book,658368
"Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government.",Martin Scorsese | Terence Winter | Jordan Belfort | Leonardo DiCaprio | Jonah Hill,75.0,180,127,8.2,2013,The Wolf of Wall Street,1729987
"Mahavir Singh Phogat, a former wrestler, decides to fulfill his dream of winning a gold medal for his country by training his daughters for the Commonwealth Games despite the existing social stigmas.",Nitesh Tiwari | Piyush Gupta | Shreyas Jain | Nikhil Mehrotra | Aamir Khan,,161,126,8.3,2016,Dangal,233666
"In post-war Italy, a working-class man's bicycle is stolen, endangering his efforts to find work. He and his son set out to find it.",Vittorio De Sica | Cesare Zavattini | Luigi Bartolini | Oreste Biancoli | Lamberto Maggiorani,,89,125,8.2,1948,Bicycle Thieves,189108
"Traudl Junge, the final secretary for Adolf Hitler, tells of the Nazi dictator's final days in his Berlin bunker at the end of WWII.",Oliver Hirschbiegel | Bernd Eichinger | Joachim Fest | Traudl Junge | Bruno Ganz,82.0,156,124,8.2,2004,Downfall,394047
"As corruption grows in 1950s Los Angeles, three policemen - one strait-laced, one brutal, and one sleazy - investigate a series of murders with their own brand of justice.",Curtis Hanson | James Ellroy | Brian Helgeland | Curtis Hanson | Kevin Spacey,91.0,138,123,8.2,1997,L.A. Confidential,649441
"A dramatization of the life story of J. Robert Oppenheimer, the physicist who had a large hand in the development of the atomic bombs that brought an end to World War II.",Christopher Nolan | Christopher Nolan | Kai Bird | Martin Sherwin | Cillian Murphy,90.0,180,122,8.3,2023,Oppenheimer,950061
"April 6th, 1917. As an infantry battalion assembles to wage war deep in enemy territory, two soldiers are assigned to race against time and deliver a message that will stop 1,600 men from walking straight into a deadly trap.",Sam Mendes | Sam Mendes | Krysty Wilson-Cairns | Dean-Charles Chapman | George MacKay,78.0,119,121,8.2,2019,1917,747169
"Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond.",Guy Ritchie | Guy Ritchie | Ade | William Beck | Andy Beckwith,55.0,102,120,8.2,2000,Snatch,959771
"In a futuristic city sharply divided between the working class and the city planners, the son of the city's mastermind falls in love with a working-class prophet who predicts the coming of a savior to mediate their differences.",Fritz Lang | Thea von Harbou | Fritz Lang | Alfred Abel | Gustav Fröhlich,98.0,153,119,8.3,1927,Metropolis,197429
Alex DeLarge and his droogs barbarize a decaying near-future.,Stanley Kubrick | Stanley Kubrick | Anthony Burgess | Malcolm McDowell | Patrick Magee,77.0,136,118,8.2,1971,A Clockwork Orange,923166
Two grifters team up to pull off the ultimate con.,George Roy Hill | David S. Ward | Paul Newman | Robert Redford | Robert Shaw,83.0,129,117,8.2,1973,The Sting,295110
"In 1938, after his father goes missing while pursuing the Holy Grail, Indiana Jones finds himself up against the Nazis again to stop them from obtaining its powers.",Steven Spielberg | Jeffrey Boam | George Lucas | Menno Meyjes | Harrison Ford,65.0,127,116,8.2,1989,Indiana Jones and the Last Crusade,850375
"A New York City cop, John McClane, tries to save his estranged wife and several others taken hostage by terrorists during a Christmas Eve party at the Nakatomi Plaza Skyscraper in Los Angeles, California.",John McTiernan | Roderick Thorp | Jeb Stuart | Steven E. de Souza | Bruce Willis,72.0,132,115,8.2,1988,Die Hard,1004442
A widowed lawyer in Depression-era Alabama defends a black man against a false rape charge while teaching his young children about the sad reality of prejudice.,Robert Mulligan | Harper Lee | Horton Foote | Gregory Peck | John Megna,88.0,129,114,8.3,1962,To Kill a Mockingbird,347054
A married couple are faced with a difficult decision - to improve the life of their child by moving to another country or to stay in Iran and look after a deteriorating parent who has Alzheimer's disease.,Asghar Farhadi | Asghar Farhadi | Payman Maadi | Leila Hatami | Sareh Bayat,95.0,123,113,8.3,2011,A Separation,273464
A young boy is thought to be nothing but a lazy troublemaker until the new art teacher has the patience and compassion to discover the real problem behind his struggles in school.,Aamir Khan | Amole Gupte | Darsheel Safary | Aamir Khan | Tisca Chopra,,162,112,8.3,2007,Like Stars on Earth,225944
"Despite being caught in her imaginative world, young waitress Amelie decides to help people find happiness. Her quest to spread joy leads her on a journey during which she finds true love.",Jean-Pierre Jeunet | Guillaume Laurant | Jean-Pierre Jeunet | Audrey Tautou | Mathieu Kassovitz,70.0,122,111,8.3,2001,Amélie,827925
"A former San Francisco police detective juggles wrestling with his personal demons and becoming obsessed with the hauntingly beautiful woman he has been hired to trail, who may be deeply disturbed.",Alfred Hitchcock | Alec Coppel | Samuel A. Taylor | Pierre Boileau | James Stewart,100.0,128,110,8.2,1958,Vertigo,451883
"Following the death of publishing tycoon Charles Foster Kane, reporters scramble to uncover the meaning of his final utterance: 'Rosebud.'",Orson Welles | Herman J. Mankiewicz | Orson Welles | Roger Q. Denny | Joseph Cotten,100.0,119,109,8.2,1941,Citizen Kane,487366
A pragmatic U.S. Marine observes the dehumanizing effects the Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.,Stanley Kubrick | Stanley Kubrick | Michael Herr | Gustav Hasford | Matthew Modine,78.0,116,108,8.2,1987,Full Metal Jacket,835386
"When the police in a German city are unable to catch a child-murderer, other criminals join in the manhunt.",Fritz Lang | Thea von Harbou | Fritz Lang | Egon Jacobsohn | Peter Lorre,,99,107,8.3,1931,M,179750
"A New York City advertising executive goes on the run after being mistaken for a government agent by a group of foreign spies, and falls for a woman whose loyalties he begins to doubt.",Alfred Hitchcock | Ernest Lehman | Cary Grant | Eva Marie Saint | James Mason,98.0,136,106,8.3,1959,North by Northwest,364765
"78-year-old Carl Fredricksen travels to South America in his house equipped with balloons, inadvertently taking a young stowaway.",Pete Docter | Bob Peterson | Pete Docter | Bob Peterson | Tom McCarthy,88.0,96,105,8.3,2009,Up,1206203
"An insurance representative is seduced by a dissatisfied housewife into a scheme of insurance fraud and murder that arouses the suspicion of his colleague, a claims investigator.",Billy Wilder | Billy Wilder | Raymond Chandler | James M. Cain | Fred MacMurray,95.0,107,104,8.3,1944,Double Indemnity,177458
A group of high-end professional thieves start to feel the heat from the LAPD when they unknowingly leave a verbal clue at their latest heist.,Michael Mann | Michael Mann | Al Pacino | Robert De Niro | Val Kilmer,76.0,170,103,8.3,1995,Heat,777722
"In the 1980s, a determined criminal-minded Cuban immigrant becomes the biggest drug smuggler in Miami, and is eventually undone by his own drug addiction.",Brian De Palma | Oliver Stone | Howard Hawks | Ben Hecht | Al Pacino,65.0,170,102,8.3,1983,Scarface,989422
"When a simple jewelry heist goes horribly wrong, the surviving criminals begin to suspect that one of them is a police informant.",Quentin Tarantino | Quentin Tarantino | Roger Avary | Harvey Keitel | Tim Roth,81.0,99,101,8.3,1992,Reservoir Dogs,1150204
"When a mysterious artifact is uncovered on the Moon, a spacecraft manned by two humans and one supercomputer is sent to Jupiter to find its origins.",Stanley Kubrick | Stanley Kubrick | Arthur C. Clarke | Keir Dullea | Gary Lockwood,84.0,149,100,8.3,1968,2001: A Space Odyssey,766655
"The story of T.E. Lawrence, the English officer who successfully united and led the diverse, often warring, Arab tribes during World War I in order to fight the Turks.",David Lean | Robert Bolt | Michael Wilson | Peter O'Toole | Alec Guinness,100.0,227,99,8.3,1962,Lawrence of Arabia,334738
"A Manhattan insurance clerk tries to rise in his company by letting its executives use his apartment for trysts, but office politics and his own romantic hopes complicate matters.",Billy Wilder | Billy Wilder | I.A.L. Diamond | Jack Lemmon | Shirley MacLaine,94.0,125,98,8.3,1960,The Apartment,213477
Twins journey to the Middle East to discover their family history and fulfill their mother's last wishes.,Denis Villeneuve | Wajdi Mouawad | Denis Villeneuve | Valérie Beaugrand-Champagne | Lubna Azabal,80.0,131,97,8.3,2010,Incendies,238676
"When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories forever.",Michel Gondry | Charlie Kaufman | Michel Gondry | Pierre Bismuth | Jim Carrey,89.0,108,96,8.3,2004,Eternal Sunshine of the Spotless Mind,1157220
A bureaucrat tries to find meaning in his life after he discovers he has terminal cancer.,Akira Kurosawa | Akira Kurosawa | Shinobu Hashimoto | Hideo Oguni | Takashi Shimura,92.0,143,95,8.3,1952,Ikiru,99383
"A teacher lives a lonely life, all the while struggling over his son's custody. His life slowly gets better as he finds love and receives good news from his son, but his new luck is about to be brutally shattered by an innocent little lie.",Thomas Vinterberg | Thomas Vinterberg | Tobias Lindholm | Mads Mikkelsen | Thomas Bo Larsen,77.0,115,94,8.3,2012,The Hunt,397670
"The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home.",Lee Unkrich | John Lasseter | Andrew Stanton | Lee Unkrich | Tom Hanks,92.0,103,93,8.3,2010,Toy Story 3,948786
"After rescuing Han Solo from Jabba the Hutt, the Rebel Alliance attempts to destroy the second Death Star while Luke struggles to help Darth Vader back from the dark side.",Richard Marquand | Lawrence Kasdan | George Lucas | Mark Hamill | Harrison Ford,58.0,131,92,8.3,1983,Star Wars: Episode VI - Return of the Jedi,1185161
The drug-induced utopias of four Coney Island people are shattered when their addictions run deep.,Darren Aronofsky | Hubert Selby Jr. | Darren Aronofsky | Ellen Burstyn | Jared Leto,71.0,102,91,8.3,2000,Requiem for a Dream,954665
"After finding an old rifle, a young boy joins the Soviet resistance movement against ruthless German forces and experiences the horrors of World War II.",Elem Klimov | Ales Adamovich | Elem Klimov | Aleksey Kravchenko | Olga Mironova,,142,90,8.3,1985,Come and See,117069
A silent film star falls for a chorus girl just as he and his delusionally jealous screen partner are trying to make the difficult transition to talking pictures in 1920s Hollywood.,Stanley Donen | Gene Kelly | Betty Comden | Adolph Green | Gene Kelly,99.0,103,89,8.3,1952,Singin' in the Rain,277110
"A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan 35 years later, where he must once again confront the ghosts and regrets of his old life.",Sergio Leone | Harry Grey | Leonardo Benvenuti | Piero De Bernardi | Robert De Niro,75.0,229,88,8.3,1984,Once Upon a Time in America,401389
"While serving a five-year sentence for a violent crime, a 12-year-old boy sues his parents for neglect.",Nadine Labaki | Nadine Labaki | Jihad Hojeily | Michelle Keserwany | Zain Al Rafeea,75.0,126,87,8.4,2018,Capernaum,119880
"Arthur Fleck, a party clown and a failed stand-up comedian, leads an impoverished life with his ailing mother. However, when society shuns him and brands him as a freak, he decides to embrace the life of chaos in Gotham City.",Todd Phillips | Todd Phillips | Scott Silver | Bob Kane | Joaquin Phoenix,59.0,122,86,8.3,2019,Joker,1648371
"Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them ""idiots"".",Rajkumar Hirani | Abhijat Joshi | Rajkumar Hirani | Vidhu Vinod Chopra | Aamir Khan,67.0,170,85,8.4,2009,3 Idiots,469711
A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter's best friend.,Sam Mendes | Alan Ball | Kevin Spacey | Annette Bening | Thora Birch,84.0,122,84,8.3,1999,American Beauty,1263761
"While seeking to cure himself of a curse, young warrior Ashitaka stumbles into a conflict between the people of Iron Town and Princess Mononoke, a girl raised by wolves, who will stop at nothing to prevent the destruction of her home.",Hayao Miyazaki | Hayao Miyazaki | Yôji Matsuda | Yuriko Ishida | Yûko Tanaka,78.0,133,83,8.3,1997,Princess Mononoke,470979
Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward I of England.,Mel Gibson | Randall Wallace | James Robinson | Sean Lawlor | Sandy Nelson,68.0,178,82,8.3,1995,Braveheart,1143717
"Two teenagers share a profound, magical connection upon discovering they are swapping bodies. Things manage to become even more complicated when the boy and girl decide to meet in person.",Makoto Shinkai | Makoto Shinkai | Ryûnosuke Kamiki | Mone Kamishiraishi | Ryo Narita,81.0,106,81,8.4,2016,Your Name.,373143
A German U-boat stalks the frigid waters of the North Atlantic as its young crew experience the sheer terror and claustrophobic life of a submariner in World War II.,Wolfgang Petersen | Lothar G. Buchheim | Wolfgang Petersen | Jürgen Prochnow | Herbert Grönemeyer,85.0,149,80,8.4,1981,Das Boot,283092
"A mentally unstable American general orders a hydrogen bomb attack on the Soviet Union, triggering a path to global nuclear holocaust that a war room full of politicians and generals frantically tries to stop.",Stanley Kubrick | Stanley Kubrick | Terry Southern | Peter George | Peter Sellers,97.0,95,79,8.3,1964,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,544474
"After being kidnapped and imprisoned for fifteen years, Oh Dae-Su is released, only to find that he must track down his captor in five days.",Park Chan-wook | Garon Tsuchiya | Nobuaki Minegishi | Park Chan-wook | Choi Min-sik,78.0,120,78,8.3,2003,Oldboy,697136
"A cowboy doll is profoundly jealous when a new spaceman action figure supplants him as the top toy in a boy's bedroom. When circumstances separate them from their owner, the duo have to put aside their differences to return to him.",John Lasseter | John Lasseter | Pete Docter | Andrew Stanton | Tom Hanks,96.0,81,77,8.3,1995,Toy Story,1145464
"A therapist counsels Will Hunting, a janitor with a genius IQ.",Gus Van Sant | Matt Damon | Ben Affleck | Matt Damon | Ben Affleck,71.0,126,76,8.3,1997,Good Will Hunting,1170686
"The life and work of Wolfgang Amadeus Mozart seen through the eyes of his contemporary and rival, Antonio Salieri.",Milos Forman | Peter Shaffer | Zdenek Mahler | F. Murray Abraham | Tom Hulce,87.0,160,75,8.4,1984,Amadeus,456384
"After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe.",Anthony Russo | Joe Russo | Christopher Markus | Stephen McFeely | Stan Lee,78.0,181,74,8.4,2019,Avengers: Endgame,1396059
"Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer.",Adrian Molina | Lee Unkrich | Lee Unkrich | Jason Katz | Matthew Aldrich,81.0,105,73,8.4,2017,Coco,673683
An executive of a Yokohama shoe company becomes a victim of extortion when his chauffeur's son is kidnapped by mistake and held for ransom.,Akira Kurosawa | Hideo Oguni | Ryûzô Kikushima | Eijirô Hisaita | Toshirô Mifune,90.0,143,72,8.4,1963,High and Low,64820
"Bane, an imposing terrorist, attacks Gotham City and disrupts its eight-year-long period of peace. This forces Bruce Wayne to come out of hiding and don the cape and cowl of Batman again.",Christopher Nolan | Jonathan Nolan | Christopher Nolan | David S. Goyer | Christian Bale,78.0,164,71,8.4,2012,The Dark Knight Rises,1948781
The real-life story of IPS Officer Manoj Kumar Sharma and IRS Officer Shraddha Joshi.,Vidhu Vinod Chopra | Vidhu Vinod Chopra | Jaskunwar Kohli | Anurag Pathak | Vikrant Massey,,147,70,8.7,2023,12th Fail,158285
"Decades after surviving the Nostromo incident, Ellen Ripley is sent out to re-establish contact with a terraforming colony but finds herself battling the Alien Queen and her offspring.",James Cameron | James Cameron | David Giler | Walter Hill | Sigourney Weaver,84.0,137,69,8.4,1986,Aliens,823569
"In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same.",Quentin Tarantino | Quentin Tarantino | Brad Pitt | Mélanie Laurent | Christoph Waltz,69.0,153,68,8.4,2009,Inglourious Basterds,1727775
Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.,Charles Chaplin | Charles Chaplin | Charles Chaplin | Paulette Goddard | Jack Oakie,,125,67,8.4,1940,The Great Dictator,252559
"A family heads to an isolated hotel for the winter, where a sinister presence influences the father into violence. At the same time, his psychic son sees horrifying forebodings from both the past and the future.",Stanley Kubrick | Stephen King | Stanley Kubrick | Diane Johnson | Jack Nicholson,68.0,146,66,8.4,1980,The Shining,1190887
A colonel defends three of his soldiers in a court-martial after they abandon a suicidal attack.,Stanley Kubrick | Stanley Kubrick | Calder Willingham | Jim Thompson | Kirk Douglas,90.0,88,65,8.4,1957,Paths of Glory,231219
A veteran British barrister must defend his client in a murder trial that has surprise after surprise.,Billy Wilder | Agatha Christie | Billy Wilder | Harry Kurnitz | Tyrone Power,76.0,116,64,8.4,1957,Witness for the Prosecution,154626
A screenwriter develops a dangerous relationship with a faded film star determined to make a triumphant return.,Billy Wilder | Charles Brackett | Billy Wilder | D.M. Marshman Jr. | William Holden,94.0,110,63,8.4,1950,Sunset Boulevard,253516
Teen Miles Morales becomes the Spider-Man of his universe and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.,Bob Persichetti | Peter Ramsey | Rodney Rothman | Phil Lord | Rodney Rothman,87.0,117,62,8.4,2018,Spider-Man: Into the Spider-Verse,756390
"In 1984 East Berlin, an agent of the secret police conducting surveillance on a writer and his lover finds himself becoming increasingly absorbed by their lives.",Florian Henckel von Donnersmarck | Florian Henckel von Donnersmarck | Martina Gedeck | Ulrich Mühe | Sebastian Koch,89.0,137,61,8.4,2006,The Lives of Others,433853
The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.,Anthony Russo | Joe Russo | Christopher Markus | Stephen McFeely | Stan Lee,68.0,149,60,8.4,2018,Avengers: Infinity War,1326434
"In 1936, archaeologist Indiana Jones is tasked by Army Intelligence to help locate a legendary ancient power, the Ark of Covenant, before the Nazis get it first.",Steven Spielberg | Lawrence Kasdan | George Lucas | Philip Kaufman | Harrison Ford,86.0,115,59,8.4,1981,Raiders of the Lost Ark,1090600
"Paul Atreides unites with the Fremen while on a warpath of revenge against the conspirators who destroyed his family. Facing a choice between the love of his life and the fate of the universe, he endeavors to prevent a terrible future.",Denis Villeneuve | Denis Villeneuve | Jon Spaihts | Frank Herbert | Timothée Chalamet,79.0,166,58,8.4,2024,Dune: Part Two,674525
A former insurance investigator who now suffers from anterograde amnesia uses notes and tattoos to hunt down his wife's murderer.,Christopher Nolan | Christopher Nolan | Jonathan Nolan | Guy Pearce | Carrie-Anne Moss,83.0,113,57,8.4,2000,Memento,1403791
"A robot who is responsible for cleaning a waste-covered Earth meets another robot and falls in love with her. Together, they set out on a journey that will alter the fate of mankind.",Andrew Stanton | Andrew Stanton | Pete Docter | Jim Reardon | Ben Burtt,95.0,98,56,8.4,2008,WALL·E,1286157
A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god.,Francis Ford Coppola | John Milius | Francis Ford Coppola | Michael Herr | Marlon Brando,94.0,147,55,8.4,1979,Apocalypse Now,754107
"With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically.",Charles Chaplin | Charles Chaplin | Harry Carr | Harry Crocker | Virginia Cherrill,99.0,87,54,8.5,1931,City Lights,210328
